room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13118824,1099,66842548,Entire home/apt,,Brno,,Brno,36,4.5,4,1.0,,49.0,,2017-04-12 12:37:48.227072,49.18755,16.585999,0101000020E61000001C7DCC0704963040B22E6EA301984840
1310349,1099,7122680,Entire home/apt,,Brno,,Brno,9,4.5,3,1.0,,49.0,,2017-04-12 12:37:48.223453,49.189204,16.59516,0101000020E61000002AE3DF675C983040DD2230D637984840
14923540,1099,93013523,Entire home/apt,,Brno,,Brno,11,5.0,4,2.0,,56.0,,2017-04-12 12:37:48.220166,49.201158,16.604766,0101000020E610000095BBCFF1D19A304015AA9B8BBF994840
13726696,1099,80266203,Entire home/apt,,Brno,,Brno,1,0.0,6,2.0,,58.0,,2017-04-12 12:37:48.217706,49.192761,16.60318,0101000020E6100000ED9925016A9A3040DD787764AC984840
12101418,1099,29371815,Entire home/apt,,Brno,,Brno,15,4.5,5,3.0,,49.0,,2017-04-12 12:37:48.215565,49.192494,16.645289,0101000020E6100000F277EFA831A530408F56B5A4A3984840
16215524,1099,105742013,Entire home/apt,,Brno,,Brno,1,0.0,4,2.0,,54.0,,2017-04-12 12:37:48.212993,49.209226,16.620958,0101000020E610000088307E1AF79E304088BCE5EAC79A4840
15733175,1099,40088289,Entire home/apt,,Brno,,Brno,1,0.0,3,1.0,,57.0,,2017-04-12 12:37:48.208609,49.202464,16.606037,0101000020E61000007C2AA73D259B3040054F2157EA994840
12194161,1099,62291242,Entire home/apt,,Brno,,Brno,9,5.0,5,3.0,,49.0,,2017-04-12 12:37:48.206415,49.220756,16.592728,0101000020E61000006A6CAF05BD973040A9328CBB419C4840
5575911,1099,10522599,Entire home/apt,,Brno,,Brno,40,4.5,3,1.0,,49.0,,2017-04-12 12:37:48.203668,49.180716,16.593999,0101000020E610000051DB86511098304095EEAEB321974840
13568576,1099,66842548,Entire home/apt,,Brno,,Brno,25,4.5,4,0.0,,49.0,,2017-04-12 12:37:48.200841,49.187426,16.603479,0101000020E6100000A2D288997D9A3040C6353E93FD974840
14399808,1099,88493522,Entire home/apt,,Brno,,Brno,2,0.0,4,1.0,,50.0,,2017-04-12 12:37:48.191950,49.175172,16.552024,0101000020E61000006B9BE271518D304064963D096C964840
9510125,1099,49279418,Entire home/apt,,Brno,,Brno,31,5.0,4,1.0,,52.0,,2017-04-12 12:37:45.164497,49.197662,16.605677,0101000020E61000007CF0DAA50D9B3040BBD408FD4C994840
16661034,1099,40088289,Entire home/apt,,Brno,,Brno,0,0.0,3,1.0,,44.0,,2017-04-12 12:37:45.159530,49.200868,16.605271,0101000020E61000009B374E0AF39A30400E68E90AB6994840
16214630,1099,105742013,Entire home/apt,,Brno,,Brno,0,0.0,2,1.0,,53.0,,2017-04-12 12:37:45.157404,49.175055,16.606006,0101000020E6100000062E8F35239B30402A00C63368964840
