room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12033092,34115236,Shared room,,Brno,0,,3,,14.0,1.0,49.20494,16.624158,2016-11-05 18:38:39.581144
13613013,19713903,Shared room,,Brno,0,,2,1.0,23.0,1.0,49.165903,16.555605,2016-11-05 18:44:38.800666
1702976,4504049,Shared room,,Brno,29,5.0,11,1.0,16.0,1.0,49.196291,16.60958,2016-11-05 18:44:53.376108
15697762,76775524,Shared room,,Brno,1,,2,1.0,19.0,1.0,49.194084,16.609156,2016-11-05 18:48:47.398592
8586985,45192357,Shared room,,Brno,25,5.0,2,,29.0,1.0,49.18092,16.593965,2016-11-05 18:46:24.870826
14924591,93818030,Shared room,,Brno,7,4.5,2,,10.0,1.0,49.203673,16.6238,2016-11-05 18:26:17.571996
2478555,2821011,Shared room,,Brno,16,5.0,2,1.0,14.0,1.0,49.190358,16.616847,2016-11-05 18:32:51.640429
12489829,15636143,Entire home/apt,,Brno,20,5.0,6,2.0,73.0,2.0,49.194086,16.608246,2016-11-05 18:45:01.177820
6702073,3566484,Entire home/apt,,Brno,3,4.5,6,2.0,80.0,1.0,49.192447,16.607556,2016-11-05 18:23:09.664660
5356823,27769049,Entire home/apt,,Brno,1,,4,0.0,74.0,1.0,49.189141,16.60642,2016-11-05 18:22:23.457069
5999251,11815074,Entire home/apt,,Brno,24,5.0,5,3.0,60.0,1.0,49.173223,16.683325,2016-11-05 18:39:49.188105
7153175,27769049,Entire home/apt,,Brno,1,,7,2.0,172.0,1.0,49.189101,16.604669,2016-11-05 18:48:13.460168
1617213,6476206,Entire home/apt,,Brno,44,5.0,6,2.0,67.0,1.0,49.172813,16.685094,2016-11-05 18:28:52.701161
14399808,88493522,Entire home/apt,,Brno,2,,4,1.0,57.0,2.0,49.175172,16.552024,2016-11-05 18:34:15.480599
2955155,14264689,Entire home/apt,,Brno,3,4.5,2,,42.0,1.0,49.223669,16.513983,2016-11-05 18:39:36.180940
8082430,42691604,Entire home/apt,,Brno,2,,5,0.0,33.0,2.0,49.207458,16.47995,2016-11-05 18:21:10.887798
7729213,40614947,Entire home/apt,,Brno,2,,3,1.0,60.0,2.0,49.203777,16.483864,2016-11-05 18:43:44.266673
15780266,102065025,Entire home/apt,,Brno,0,,5,3.0,50.0,1.0,49.186848,16.585175,2016-11-05 18:35:25.233138
13277898,2414990,Entire home/apt,,Brno,17,5.0,3,,38.0,2.0,49.175594,16.619781,2016-11-05 18:38:53.658244
12458182,32968576,Entire home/apt,,Brno,1,,2,,42.0,1.0,49.184282,16.590993,2016-11-05 18:31:26.696014
7000093,36699507,Entire home/apt,,Brno,1,,2,1.0,3409.0,1.0,49.182005,16.598442,2016-11-05 18:34:21.141203
10621560,10522599,Entire home/apt,,Brno,1,,3,1.0,62.0,1.0,49.187793,16.58729,2016-11-05 18:46:38.176868
2054226,10522599,Entire home/apt,,Brno,13,5.0,4,,64.0,1.0,49.186459,16.586387,2016-11-05 18:27:45.755524
8749192,3566484,Entire home/apt,,Brno,1,,4,,68.0,1.0,49.176311,16.606704,2016-11-05 18:26:19.393121
9655555,49913319,Entire home/apt,,Brno,16,5.0,3,,32.0,1.0,49.18631,16.598406,2016-11-05 18:26:32.185584
5575911,10522599,Entire home/apt,,Brno,37,4.5,3,1.0,50.0,1.0,49.180716,16.593999,2016-11-05 18:46:41.616420
2574195,7122680,Entire home/apt,,Brno,6,4.5,3,1.0,52.0,1.0,49.186901,16.594581,2016-11-05 18:48:53.207630
14669914,19764487,Entire home/apt,,Brno,1,,2,,39.0,1.0,49.188469,16.593521,2016-11-05 18:41:15.112366
8748344,3566484,Entire home/apt,,Brno,3,4.0,2,1.0,57.0,1.0,49.17547,16.606207,2016-11-05 18:44:05.463227
13324403,75372325,Entire home/apt,,Brno,0,,4,,40.0,1.0,49.178856,16.691209,2016-11-05 18:41:12.099460
15754424,66842548,Entire home/apt,,Brno,0,,4,0.0,41.0,1.0,49.185928,16.585911,2016-11-05 18:28:05.780607
14101892,32249725,Entire home/apt,,Brno,1,,2,,26.0,1.0,49.184199,16.641419,2016-11-05 18:44:36.394580
12899133,61809465,Entire home/apt,,Brno,24,5.0,2,1.0,23.0,2.0,49.181416,16.683726,2016-11-05 18:20:16.918054
6856095,18395020,Entire home/apt,,Brno,21,4.5,6,3.0,90.0,1.0,49.194241,16.607979,2016-11-05 18:30:11.173926
13668012,71433987,Entire home/apt,,Brno,9,5.0,2,,24.0,1.0,49.210104,16.599491,2016-11-05 18:40:01.790217
1293748,7034433,Entire home/apt,,Brno,32,4.0,2,0.0,33.0,1.0,49.189729,16.595235,2016-11-05 18:40:08.656190
14436285,31846956,Entire home/apt,,Brno,1,,5,2.0,52.0,1.0,49.194816,16.607601,2016-11-05 18:19:33.600693
3418421,3885548,Entire home/apt,,Brno,7,4.5,7,3.0,44.0,2.0,49.197572,16.608237,2016-11-05 18:28:25.560860
9892310,18395020,Entire home/apt,,Brno,2,,2,,34.0,1.0,49.194462,16.607018,2016-11-05 18:34:36.643790
15335492,66842548,Entire home/apt,,Brno,2,,4,,41.0,1.0,49.191249,16.599904,2016-11-05 18:24:08.706023
8297053,7034433,Entire home/apt,,Brno,32,4.5,2,,40.0,1.0,49.188635,16.593786,2016-11-05 18:48:33.871432
9869340,7034433,Entire home/apt,,Brno,2,,3,2.0,58.0,1.0,49.189119,16.595841,2016-11-05 18:48:10.222529
3265639,16514467,Entire home/apt,,Brno,6,5.0,4,,42.0,1.0,49.189206,16.597846,2016-11-05 18:42:32.470520
13568576,66842548,Entire home/apt,,Brno,16,4.5,4,,41.0,1.0,49.187426,16.603479,2016-11-05 18:34:10.049644
13206857,74009441,Entire home/apt,,Brno,0,,3,,31.0,2.0,49.19305,16.590019,2016-11-05 18:41:54.697685
6951867,31151761,Entire home/apt,,Brno,6,5.0,2,1.0,72.0,1.0,49.18758,16.605766,2016-11-05 18:30:26.526161
11264337,46873867,Entire home/apt,,Brno,0,,1,,28.0,15.0,49.192044,16.600709,2016-11-05 18:40:55.257240
15754987,38191170,Entire home/apt,,Brno,0,,4,1.0,12.0,1.0,49.194709,16.5971,2016-11-05 18:33:27.337292
6267155,3566484,Entire home/apt,,Brno,2,,4,,74.0,1.0,49.191476,16.607142,2016-11-05 18:31:16.881565
14171560,3566484,Entire home/apt,,Brno,0,,4,,74.0,2.0,49.192154,16.607152,2016-11-05 18:40:19.931287
3844805,3708921,Entire home/apt,,Brno,42,4.5,2,1.0,22.0,1.0,49.192376,16.611675,2016-11-05 18:33:45.801053
9467711,48351970,Entire home/apt,,Brno,10,4.0,5,,30.0,1.0,49.192764,16.611847,2016-11-05 18:28:38.650718
14275560,85771288,Entire home/apt,,Brno,1,,3,1.0,61.0,1.0,49.190959,16.620246,2016-11-05 18:21:25.907082
14448280,16662183,Entire home/apt,,Brno,4,5.0,16,7.0,190.0,1.0,49.195908,16.607381,2016-11-05 18:42:01.628245
2903473,4504049,Entire home/apt,,Brno,9,4.5,6,2.0,97.0,1.0,49.196651,16.608403,2016-11-05 18:31:32.939455
13732615,80266203,Entire home/apt,,Brno,0,,6,,84.0,1.0,49.193034,16.604892,2016-11-05 18:39:04.727081
